0	xp系统是真不好装，买回来几天了，换了几个人帮忙装还是没有效果，有点久久不能释怀啊
0	挺无聊的一本书。内容很贴近生活，可能是因为太贴近生活了，反而没什么可看的了。
0	“奇书”算不上吧！只看结果，成功固然好，但是不一定每件事都要拿出来说。。。
1	该笔记本样式新颖 ，外观真不错，但性能如何，还需要用下来后才知道 。
1	上周五就把支票给京东了，现在是周四上午了，还没拿到东西。目前赠送又增加了鼠标和杀毒软件，估计时没我的了。
1	不是《庄子》里所有的文章都一定是庄子本人所做，大家要正确看待，读《庄子》要用心去领会，考别人教的话，顶多是他人消化过的看法，我们要先有一定的理解，再结合各种观点去更好地领会其中的奥妙。再说这本书又要翻译，《庄子》原文内容又多，怎么可能是全本呢，选的时候自然要注意。很多人喜欢拿历史人物的局限性来诟病他们，切不可如此，试想再过2000年有谁能保证后人不拿我们的局限性来诟病我们呢？
1	蓝天宾馆的服务绝对的好，每个宾馆员工见到每个客人都面带微笑，说：“你好！”服务很周到，餐厅的菜也很合口，设施很齐全，四星级的酒店有五星级的服务，我们一家人都很满意，决定下次去威海，还住蓝天宾馆。
0	声音太小，与我女朋友的联想比声音那个真是小啊！只能配个外置的音响了！还有就是内存少了点。
1	因为儿子总会有时让你抓狂，总会让你在失去耐心时揍他的屁股，但当他对着电话说想你时又那么贴心。买这本书更多的是想在自己失去耐心时能再多点耐心，在他调皮时更多点宽容，看完了这本书，我想我得到了更多的东西。是的，每一个孩子都是最好的礼物，而父母的“创造”应该陪伴孩子的成长。值得一看，一本让人感到温暖、充满希望的书。
1	1、做工精致； 2、开机运行时间差不多4个小时，基本够用了。不过要注意头几次充电要充分，以激活电池； 3、其他的就是优派自己介绍的机器卖点了，另外送的电脑桌确实轻便，就是小了一点点。
0	不是xp系统，而是linux系统 超级不习惯 不过对于研究linux的朋友们倒是个选择
1	这本书很有意思，因为个人和喜欢阮籍，所以就卖了这本书，本书中谈到的阮籍很可爱啊！超级喜欢他的，不过相反的对嵇康倒没太大的兴趣，不过毕竟是竹林七贤之一，有时候还是很可爱的，比如说光着膀子在树下打铁的时候，给山涛写绝交书的时候！都很可爱啊，不过还是最最喜欢阮籍！！！这本书很有意思，有一点戏说的成分，但是要比看枯燥的正式有意思，可以参考正史来读这本书（此为个人意见也。）
0	酒店实在很糟糕，墙上贴着不能把四巾带走，说实话白给都不要，旧的只能擦地板。不是一次性拖鞋，淋浴喷头水很稀。床单和被子也不十分干净。房间不隔音，半夜被隔壁奇怪的咳嗽声惊醒，再也无法入睡。订了两个房间同时接到骚扰电话，可能是我们都是女士接听的，对方没有出声就挂断了。最糟糕的就是地下车库了，阴暗潮湿，蚊子巨多，汽车自行车混在一起没有分区，入库也没人看着，出库时现找人开门。其实车库并不大，而且只有一层，只要稍加装修就能改变现在的状况，只可惜没人重视这些细节。中午和前台打招呼要退房，上去取行李之后又被打电话说我们超时，服务简直太差了。蓬莱没有什么满意的住处，建议先到蓬莱游览完之后去烟台或威海住比较好。 补充点评 2007年8月1日 ： 离海还隔着几条街呢怎么还说有海景房？真不知他们怎么想的！
0	我通过携程定的豪华标间,价格4百元,以为这个价钱至少可以住到干净整洁的酒店吧,至于豪华,根本是没想过;但即使这样低的心理期待下,这酒店还是把我吓了一跳;一进房间就是一股霉味和臭味混杂的味道;等进了厕所,才知道房间的味道与之相比简直是小巫见大巫,简
1	这套书不错啊！寂寞的老头因为捣乱猫而不再孤独无聊，里面的人情味很重，儿子很喜欢，每天睡觉时从书架抽一本让我在床头给他讲。有时候自己翻着看，因为画面很丰富，他在里面能看到文字以外的东西，比如有一集里面，在鸡蛋的框子里有一个彩色的，他很快就发现了，说“复活节彩蛋”！其实那篇跟复活节没有什么关系。还有一些细节，好想画出了大人看不到，孩子世界里特有的东西，小动物、奇怪的仿生家具……。
0	我对这家酒店的感觉不太好。 先说缺点： 1 门口正在修地铁，十分吵杂。 2 酒店装修号称前卫与古典之完美结合，不过我个人觉得华而不实。 3 房间走廊黑咕隆咚，伸手不见五指。 4 商务部就一台破电脑和一张烂凳子，还要收钱。 5 酒店的餐厅外包，吃饭很不方便，早餐非常非常差。 优点： 1 房间里被褥枕头很干净。 2 位置不错，在杭州商业区。 3 退房延迟至下午2点，可能因为入住率不高的原因吧。
0	对当地的酒店做了实地比较，这里硬件还算好的，装修比较新但实在不能给分太高。住的是套房，但卧室里没有电视，宽带不能用，说是在维修！聋子的耳朵-摆设。
0	就是update补丁后不能设置密码，害我差点重做系统 声音有点差 有点贵 有点沉
0	一本教女人怎么做一个完全物质的流水线商品一样东西的书,韩国人真的非常物质这本书就是很好的反映.一个正常的人是有思想有感情的,并且由于这样社会才会非常多姿多彩.
1	买这本书的初衷就是把它送给上大学的妹妹看，收到的效果比我预想得要好。很早以前就关注过开复先生的经历和作品，但都是在网上看，真正买书这是第一次。静下心来看过后，觉得现在的孩子们都应该好好读一读这本书，无论是大孩子还是小孩子，我觉得在这方面现在的孩子们是越早接触越好。他们在这方面欠缺太多了。这和父母的教育以及现在中国的教育制度都有关系。
